FID,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bretagne.2021-01-28 01:00:00+01.242900769,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,242900769,CA Concarneau Cornouaille,0,0,0,0,0,-3.84997087,47.92561427,189060.08329175,6780525.92799588,2154,POINT (189060.08329174833 6780525.927995877)
ind_bretagne.2021-01-28 01:00:00+01.200067460,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,200067460,CC Loudéac Communauté - Bretagne Centre,0,0,0,0,0,-2.67644524,48.22149004,278797.59143522,6806397.644916,2154,POINT (278797.5914352157 6806397.644916002)
ind_bretagne.2021-01-28 01:00:00+01.242900793,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,242900793,CC Communauté Lesneven Côte des Légendes,0,0,0,0,0,-4.33829263,48.58471614,159533.61321573,6856740.56766354,2154,POINT (159533.61321572843 6856740.567663543)
ind_bretagne.2021-01-28 01:00:00+01.244400610,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique) (partie bretonne),0,0,0,0,0,-2.39340685,47.48065108,294135.344946,6722788.70075513,2154,POINT (294135.3449460005 6722788.700755127)
ind_bretagne.2021-01-28 01:00:00+01.242900561,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,242900561,CC de Haute-Cornouaille,0,0,0,0,0,-3.79436674,48.18447104,195662.31298339,6808827.80877486,2154,POINT (195662.31298338584 6808827.808774858)
ind_bretagne.2021-01-28 01:00:00+01.242900801,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,242900801,CC du Pays de Landerneau-Daoulas,0,0,0,0,0,-4.21079283,48.40153859,167040.95045947,6835597.32442347,2154,POINT (167040.95045947313 6835597.324423467)
ind_bretagne.2021-01-28 01:00:00+01.243500725,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,243500725,CC Côte d'Émeraude,0,0,0,0,0,-2.0990518,48.5837867,324165.4410315,6843647.06430371,2154,POINT (324165.4410315044 6843647.064303708)
ind_bretagne.2021-01-28 01:00:00+01.245600440,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,245600440,CC de Blavet Bellevue Océan,0,0,0,0,0,-3.22945375,47.73476193,233568.72635349,6755558.5229328,2154,POINT (233568.72635349247 6755558.5229327995)
ind_bretagne.2021-01-28 01:00:00+01.200065928,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,200065928,CA Lannion-Trégor Communauté,0,0,0,0,0,-3.4052712,48.69212995,229032.35932977,6862656.34764189,2154,POINT (229032.35932977163 6862656.347641887)
ind_bretagne.2021-01-28 01:00:00+01.245614383,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,245614383,CC Questembert Communauté,0,0,0,0,0,-2.40580669,47.68099545,294727.76381334,6745056.85715932,2154,POINT (294727.7638133411 6745056.857159318)
ind_bretagne.2021-01-28 01:00:00+01.245600465,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,245600465,CC de Belle-Ile-en-Mer,0,0,0,0,0,-3.17712971,47.32715143,233942.11050365,6710108.25735411,2154,POINT (233942.11050365045 6710108.257354106)
ind_bretagne.2021-01-28 01:00:00+01.243500667,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,243500667,CC du Val d'Ille-Aubigné,0,0,0,0,0,-1.64615383,48.2797767,355514.13516056,6807854.08728623,2154,POINT (355514.1351605609 6807854.087286226)
ind_bretagne.2021-01-28 01:00:00+01.243500139,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,243500139,Rennes Métropole,0,0,0,0,0,-1.71146934,48.10815818,349555.00704537,6789093.38652832,2154,POINT (349555.0070453745 6789093.386528317)
ind_bretagne.2021-01-28 01:00:00+01.242900744,2021-01-28T01:00:00,2,Moyen,#50CCAA,2021-01-27T01:00:00,Air Breizh,EPCI,242900744,CC Poher Communauté,0,0,0,0,0,-3.59403602,48.27480021,211340.09492174,6817573.93818509,2154,POINT (211340.09492174326 6817573.9381850865)
